file,kernel,warmth,metric,value,unit
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Int insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP16 insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP32 insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,FP64 insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Conv insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,cold,Warps launched,"177,472.00",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Total duration [us],119.31,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP16 FLOPs,"3,584,000",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP32 FLOPs,"36,230,542",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP64 FLOPs,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Total FLOPs,"39,814,542",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP16 GFLOP/s,30.04,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP32 GFLOP/s,303.67,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP64 GFLOP/s,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Total GFLOP/s,333.71,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,DRAM rd [GB],0.06003,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,DRAM wr [GB],0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,DRAM total [GB],0.06003,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,DRAM rd BW [GB/s],503.11,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,DRAM wr BW [GB/s],0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,DRAM total BW [GB/s],503.11,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,L2 hit rate [%],51.34,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,L1 hit rate [%],44.45,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Global ld insns,"1,755,201",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Global st insns,"148,058.00",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Shared ld insns,333.00,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Shared st insns,888.00,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Total insns,"17,668,311",
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Int insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP16 insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP32 insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,FP64 insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Conv insns,0,
vt_profiles-r02b03/vt.f32.ncu-rep,AGGREGATE,warm,Warps launched,"177,472.00",
vt_profiles-r02b03/vt.f32.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Exec insns,"2,894,400",inst
vt_profiles-r02b03/vt.f32.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Total insns,"2,894,400",inst
vt_profiles-r02b03/vt.f32.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Global ld insns,"288,000",inst
